record,endTime,artistName,trackName,msPlayed
,11/3/2022 18:35,The Weeknd,Kiss Land,263132
,11/4/2022 5:15,The Weeknd,Kiss Land,874614
,11/4/2022 5:20,Cults,Always Forever,10845
,11/4/2022 5:20,Siouxsie and the Banshees,Spellbound,25750
,11/4/2022 5:20,Siouxsie and the Banshees,Happy House,254211
,11/4/2022 5:24,Cults,Always Forever,223746
,11/4/2022 5:28,Emika,Professional Loving,36570
,11/4/2022 5:29,$uicideboy$,I No Longer Fear the Razor Guarding My Heel (IV),36130
,11/4/2022 5:31,$uicideboy$,Leave Me Alone,110825
,11/4/2022 5:34,$uicideboy$,I No Longer Fear the Razor Guarding My Heel (IV),220294
,12/1/2022 1:37,Lil Yachty,Top Down,1440
,12/1/2022 1:40,City Morgue,Nuka Cola,168040
,12/1/2022 1:43,Childish Gambino,II. Shadows,231746
,12/1/2022 1:46,MF DOOM,Kon Karne,171600
,12/1/2022 1:50,Mac Miller,Polo Jeans (feat. Earl Sweatshirt),211682
,12/1/2022 1:53,Travis Scott,outside,176488
,12/1/2022 1:56,Kanye West,Famous,196040
,12/1/2022 1:59,21 Savage,Brand New Draco,202420
,12/1/2022 2:00,Shoreline Mafia,Musty,1010
,12/1/2022 2:00,Mac Miller,Inside Outside,8582
,1/1/2023 20:46,Childish Gambino,3005,241250
,1/1/2023 20:51,Childish Gambino,II. Zealots of Stockholm [Free Information],290705
,1/1/2023 20:54,Childish Gambino,I. Pink Toes,207066
,1/1/2023 23:08,Childish Gambino,III. Life: The Biggest Troll [Andrew Auernheimer],342048
,1/1/2023 23:09,$hinji,24,96591
,1/1/2023 23:10,Kanye West,Monster,34265
,1/1/2023 23:13,"Tyler, The Creator",BUFFALO (feat. Shane Powers),159964
,1/1/2023 23:15,"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),175122
,1/1/2023 23:16,Baby Keem,FRANCE FREESTYLE,34317
,1/1/2023 23:40,Baby Keem,FRANCE FREESTYLE,111478
,1/1/2023 23:47,Baby Keem,MOSHPIT,160696
,2/1/2023 0:00,Skrillex,Leave Me Like This,182107
,2/1/2023 14:13,Skrillex,Leave Me Like This,6051
,2/1/2023 14:17,Rae Sremmurd,"""42"" - From SR3MM",238020
,2/1/2023 14:21,Rae Sremmurd,Swang,208120
,2/1/2023 14:23,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),136366
,2/1/2023 14:23,Future,HOLY GHOST,9312
,2/1/2023 14:24,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),26920
,2/1/2023 14:27,Future,HOLY GHOST,170266
,2/1/2023 14:28,"Tyler, The Creator",DEATHCAMP (feat. Cole Alexander),98343
,2/1/2023 17:24,"Tyler, The Creator",DEATHCAMP (feat. Cole Alexander),91360
,2/1/2023 17:28,Future,Mask Off,204600
,3/1/2023 14:08,Kendrick Lamar,Mirror,1470
,3/1/2023 14:11,Pi’erre Bourne,IG,188475
,3/1/2023 14:15,Rae Sremmurd,Swang,208120
,3/1/2023 14:18,21 Savage,Numb,4040
,3/1/2023 14:18,Migos,Stir Fry,3230
,3/1/2023 14:18,42 Dugg,Free RIC (feat. Lil Durk),16882
,3/1/2023 14:18,Shoreline Mafia,Musty,4790
,3/1/2023 14:18,Offset,54321,3930
,3/1/2023 14:18,Playboi Carti,Broke Boi,189321
